,outputs,inputs,low,high,average
195,10.704,1.058,0.858,1.601,1.0603
196,10.544,1.03,0.834,1.568,1.03365
197,10.383,1.002,0.809,1.535,1.0068
198,10.221,0.973,0.784,1.501,0.97985
199,10.057,0.945,0.758,1.467,0.9528
200,9.888,0.916,0.732,1.432,0.9251
201,9.707,0.887,0.704,1.394,0.8957
202,9.525,0.858,0.676,1.357,0.8663
203,9.342,0.828,0.647,1.319,0.83655
204,9.158,0.799,0.619,1.28,0.80705
205,8.974,0.77,0.59,1.242,0.77765
206,8.79,0.74,0.564,1.204,0.74855
207,8.598,0.711,0.541,1.164,0.71935
208,8.399,0.681,0.518,1.123,0.6899
209,8.2,0.651,0.496,1.082,0.6608
210,8.001,0.621,0.474,1.04,0.63215
211,7.802,0.592,0.456,0.999,0.60475
212,7.603,0.562,0.436,0.958,0.5782
213,7.404,0.532,0.394,0.917,0.553
214,7.197,0.503,0.359,0.874,0.5276
215,6.987,0.473,0.324,0.83,0.502
216,6.778,0.444,0.29,0.787,0.4767
217,6.569,0.414,0.257,0.744,0.45165
218,6.361,0.385,0.226,0.701,0.42685
219,6.154,0.356,0.196,0.658,0.40255
220,5.948,0.327,0.169,0.616,0.3786
221,5.735,0.298,0.144,0.573,0.3544
222,5.521,0.269,0.122,0.53,0.3305
223,5.309,0.241,0.105,0.488,0.3076
224,5.099,0.213,0.092,0.447,0.28555
225,4.89,0.185,0.079,0.407,0.26435
226,4.683,0.157,0.067,0.369,0.244
227,4.477,0.129,0.054,0.332,0.22305
228,4.267,0.102,0.042,0.296,0.20105
229,4.057,0.075,0.03,0.26,0.17775
230,3.85,0.048,0.018,0.224,0.15335
231,3.645,0.022,0.006,0.189,0.1283
232,3.442,-0.005,-0.007,0.158,0.10305
233,3.242,-0.03,-0.02,0.132,0.07785
234,3.045,-0.056,-0.034,0.105,0.05205
235,2.849,-0.081,-0.055,0.078,0.02535
236,2.65,-0.106,-0.08,0.049,-0.00195
237,2.454,-0.13,-0.106,0.02,-0.0289
238,2.262,-0.154,-0.133,-0.009,-0.05525
239,2.073,-0.178,-0.159,-0.037,-0.081
240,1.887,-0.201,-0.185,-0.063,-0.10665
241,1.705,-0.224,-0.211,-0.089,-0.1321
242,1.526,-0.246,-0.236,-0.108,-0.157
243,1.351,-0.268,-0.261,-0.127,-0.18145
244,1.176,-0.289,-0.286,-0.145,-0.20565
245,1.003,-0.31,-0.31,-0.163,-0.2291
246,0.834,-0.331,-0.334,-0.181,-0.2515
247,0.669,-0.351,-0.356,-0.198,-0.2722
248,0.509,-0.37,-0.374,-0.214,-0.2911
249,0.352,-0.389,-0.389,-0.23,-0.3089
250,0.2,-0.407,-0.403,-0.246,-0.3255
251,0.052,-0.425,-0.416,-0.256,-0.33945
252,-0.091,-0.442,-0.427,-0.262,-0.34465
253,-0.23,-0.459,-0.434,-0.268,-0.34485
254,-0.364,-0.475,-0.438,-0.277,-0.3511
255,-0.497,-0.491,-0.443,-0.294,-0.3721
256,-0.625,-0.506,-0.465,-0.321,-0.40235
257,-0.749,-0.521,-0.501,-0.351,-0.43565
258,-0.868,-0.535,-0.535,-0.381,-0.4696
259,-0.981,-0.548,-0.575,-0.41,-0.5027
260,-1.09,-0.561,-0.613,-0.44,-0.5351
261,-1.193,-0.573,-0.649,-0.469,-0.5664
262,-1.292,-0.585,-0.683,-0.498,-0.59685
263,-1.385,-0.596,-0.715,-0.525,-0.6257
264,-1.473,-0.606,-0.745,-0.551,-0.6528
265,-1.556,-0.616,-0.773,-0.576,-0.6779
266,-1.633,-0.625,-0.794,-0.6,-0.69855
267,-1.706,-0.633,-0.81,-0.623,-0.71495
268,-1.773,-0.641,-0.822,-0.644,-0.7274
269,-1.835,-0.649,-0.831,-0.664,-0.7372
270,-1.891,-0.655,-0.839,-0.683,-0.7449
271,-1.943,-0.661,-0.846,-0.699,-0.7512
272,-1.989,-0.667,-0.851,-0.707,-0.75625
273,-2.029,-0.671,-0.855,-0.711,-0.7601
274,-2.065,-0.676,-0.859,-0.713,-0.7635
275,-2.095,-0.679,-0.862,-0.714,-0.766
276,-2.121,-0.682,-0.864,-0.716,-0.768
277,-2.141,-0.684,-0.866,-0.717,-0.76975
278,-2.155,-0.686,-0.867,-0.717,-0.7706
279,-2.164,-0.687,-0.868,-0.718,-0.77135
280,-2.168,-0.688,-0.868,-0.718,-0.7716
281,-2.168,-0.687,-0.868,-0.718,-0.7716
282,-2.168,-0.687,-0.868,-0.718,-0.7716
283,-2.168,-0.685,-0.868,-0.718,-0.7716
284,-2.168,-0.683,-0.868,-0.718,-0.7716
285,-2.168,-0.681,-0.868,-0.718,-0.7716
286,-2.168,-0.677,-0.868,-0.718,-0.7716
287,-2.168,-0.674,-0.868,-0.718,-0.7716
288,-2.168,-0.669,-0.868,-0.718,-0.7716
289,-2.168,-0.664,-0.868,-0.718,-0.7716
290,-2.168,-0.659,-0.868,-0.718,-0.7716
291,-2.168,-0.653,-0.868,-0.718,-0.7716
292,-2.168,-0.646,-0.868,-0.718,-0.7716
293,-2.168,-0.639,-0.868,-0.718,-0.7716
294,-2.168,-0.631,-0.868,-0.718,-0.7716
295,-2.168,-0.623,-0.868,-0.718,-0.7716
296,-2.168,-0.614,-0.868,-0.718,-0.7716
297,-2.168,-0.605,-0.868,-0.718,-0.7716
298,-2.168,-0.595,-0.868,-0.718,-0.7716
299,-2.168,-0.585,-0.868,-0.718,-0.7716
300,-2.168,-0.574,-0.868,-0.718,-0.7716
301,-2.168,-0.563,-0.868,-0.718,-0.7716
302,-2.168,-0.551,-0.868,-0.718,-0.7716
303,-2.168,-0.539,-0.868,-0.718,-0.7716
304,-2.168,-0.527,-0.868,-0.718,-0.7716
305,-2.168,-0.514,-0.868,-0.718,-0.7716
306,-2.168,-0.5,-0.868,-0.718,-0.7716
307,-2.165,-0.486,-0.868,-0.718,-0.7716
308,-2.126,-0.472,-0.868,-0.718,-0.7716
309,-2.086,-0.458,-0.868,-0.718,-0.7716
310,-2.045,-0.443,-0.868,-0.718,-0.7716
311,-2.003,-0.427,-0.868,-0.718,-0.7716
312,-1.96,-0.412,-0.868,-0.718,-0.7711
313,-1.916,-0.396,-0.868,-0.696,-0.7529
314,-1.872,-0.379,-0.851,-0.67,-0.73045
315,-1.826,-0.363,-0.831,-0.643,-0.70655
316,-1.78,-0.346,-0.812,-0.615,-0.6822
317,-1.733,-0.329,-0.791,-0.586,-0.6567
318,-1.685,-0.311,-0.77,-0.556,-0.6299
319,-1.637,-0.293,-0.749,-0.525,-0.6026
320,-1.571,-0.276,-0.718,-0.48,-0.56355
321,-1.497,-0.257,-0.683,-0.427,-0.51755
322,-1.422,-0.239,-0.644,-0.371,-0.4682
323,-1.345,-0.221,-0.601,-0.327,-0.4159
324,-1.269,-0.202,-0.554,-0.284,-0.36345
325,-1.191,-0.183,-0.503,-0.233,-0.3087
326,-1.114,-0.164,-0.452,-0.181,-0.25685
327,-1.035,-0.145,-0.4,-0.129,-0.20665
328,-0.956,-0.126,-0.348,-0.088,-0.16035
329,-0.877,-0.107,-0.296,-0.052,-0.11605
330,-0.798,-0.087,-0.244,-0.014,-0.0735
331,-0.7,-0.068,-0.179,0.033,-0.02355
332,-0.602,-0.048,-0.113,0.077,0.0242
333,-0.505,-0.029,-0.056,0.118,0.0688
334,-0.407,-0.009,-0.007,0.163,0.1112
335,-0.309,0.01,0.026,0.214,0.1501
336,-0.212,0.029,0.05,0.252,0.18295
337,-0.114,0.049,0.071,0.269,0.20645
338,-0.017,0.068,0.09,0.282,0.22135
339,0.08,0.087,0.111,0.291,0.23255
340,0.176,0.107,0.13,0.296,0.2435
341,0.281,0.126,0.144,0.304,0.25735
342,0.389,0.145,0.158,0.318,0.27465
343,0.496,0.164,0.173,0.338,0.29265
344,0.603,0.182,0.188,0.361,0.31035
345,0.708,0.201,0.204,0.383,0.3271
346,0.812,0.219,0.221,0.403,0.3439
347,0.916,0.237,0.24,0.423,0.3613
348,1.018,0.255,0.26,0.443,0.3789
349,1.118,0.273,0.281,0.462,0.39695
350,1.218,0.29,0.302,0.48,0.41565
351,1.315,0.307,0.323,0.501,0.43385
352,1.418,0.324,0.345,0.524,0.4535
353,1.522,0.341,0.367,0.547,0.4733
354,1.623,0.357,0.382,0.57,0.4926
355,1.723,0.373,0.394,0.593,0.51185
356,1.82,0.388,0.407,0.615,0.5305
357,1.916,0.404,0.422,0.638,0.54925
358,2.009,0.419,0.437,0.659,0.5674
359,2.099,0.433,0.453,0.68,0.5853
360,2.188,0.447,0.47,0.701,0.60305
361,2.273,0.461,0.487,0.718,0.61965
362,2.357,0.474,0.503,0.728,0.6358
363,2.437,0.487,0.52,0.744,0.65125
364,2.515,0.499,0.536,0.763,0.666
365,2.589,0.511,0.552,0.773,0.67945
366,2.666,0.523,0.568,0.783,0.6929
367,2.74,0.534,0.583,0.792,0.7058
368,2.81,0.544,0.594,0.801,0.7176
369,2.877,0.554,0.604,0.809,0.7288
370,2.941,0.564,0.613,0.816,0.73955
371,3.001,0.573,0.622,0.823,0.7494
372,3.058,0.581,0.63,0.83,0.75865
373,3.111,0.589,0.637,0.836,0.7672
374,3.16,0.597,0.644,0.842,0.7747
375,3.206,0.603,0.651,0.847,0.7816
376,3.248,0.61,0.657,0.852,0.7876
377,3.285,0.615,0.662,0.856,0.79255
378,3.319,0.62,0.666,0.86,0.797
379,3.349,0.625,0.67,0.863,0.80115
380,3.375,0.629,0.673,0.866,0.8045
381,3.397,0.632,0.676,0.869,0.8074
382,3.414,0.634,0.678,0.871,0.8097
383,3.428,0.636,0.68,0.872,0.8114
384,3.437,0.638,0.681,0.873,0.81245
385,3.442,0.639,0.682,0.874,0.8133
386,3.442,0.639,0.682,0.874,0.8133
387,3.442,0.638,0.682,0.874,0.8133
388,3.442,0.637,0.682,0.874,0.8133
389,3.442,0.635,0.682,0.874,0.8133
390,3.442,0.632,0.682,0.874,0.8133
391,3.442,0.629,0.682,0.874,0.8133
392,3.442,0.625,0.682,0.874,0.8133
393,3.442,0.621,0.682,0.874,0.8133
394,3.442,0.616,0.682,0.874,0.8133
395,3.442,0.61,0.682,0.874,0.8133
396,3.442,0.603,0.682,0.874,0.8133
397,3.442,0.596,0.682,0.874,0.8133
398,3.442,0.588,0.682,0.874,0.8133
399,3.442,0.58,0.682,0.874,0.8133
